date,campaign_id,adset_id,ad_id,web_tracking,impressions,clicks,spend
2022-12-05,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543604470;352580296;i,295,0,2.25
2022-12-05,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543605316;352202888;g,120,0,0.84
2022-12-05,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543604269;352571544;k,75,0,0.41
2022-12-05,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543605091;352576552;i,125,0,0.59
2022-12-05,2.38504E+16,2.38505E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543714832;352566207;i,88,0,1.08
2022-12-05,2.38504E+16,2.38505E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543603648;352209086;j,77,0,0.67
2022-12-05,2.38504E+16,2.38505E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543604449;352570677;q,50,0,0.63
2022-12-05,2.38504E+16,2.38505E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543603582;352578799;a,18,0,0.2
2022-12-05,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543604260;352569894;q,367,0,2.79
2022-12-05,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543604425;352569741;k,155,1,1.31
2022-12-05,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543603603;352579630;f,314,1,2.7
2022-12-05,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543715909;352208363;k,100,1,0.64
2022-12-05,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543604227;352579624;l,212,1,1.19
2022-12-05,2.38504E+16,2.38505E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543714505;352571541;c,645,1,11.97
2022-12-05,2.38504E+16,2.38505E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543715903;352579222;j,238,1,4.42
2022-12-05,2.38504E+16,2.38505E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543604446;352578895;x,799,1,11.92
2022-12-05,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543714826;352565979;a,517,1,3.23
2022-12-05,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543716158;352578793;y,566,1,4.14
2022-12-05,2.38504E+16,2.38505E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543605088;352577464;r,643,3,10.62
2022-12-05,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543715939;352208465;q,836,3,6.77
2022-12-05,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543605628;352579333;o,5052,13,50.28
2022-12-05,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543714508;352570734;i,3441,15,36.05
2022-12-05,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543715468;352566654;u,8285,20,84.46
2022-12-05,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543605610;352579234;f,6241,20,64.74
2022-12-12,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543604422;352579492;l,954,2,7.4
2022-12-13,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543604422;352579492;l,536,4,4.26
2022-12-14,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543604422;352579492;l,728,2,6.29
2022-12-15,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543604422;352579492;l,737,4,5.5
2022-12-16,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543604422;352579492;l,838,4,7.1
2022-12-17,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543604422;352579492;l,740,3,6.76
2022-12-18,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543604422;352579492;l,915,8,8.34
2022-12-19,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543604422;352579492;l,1399,4,13.34
2022-12-20,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543604422;352579492;l,50,0,0.58
2022-12-12,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543716203;352580290;a,421,1,4.65
2022-12-13,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543716203;352580290;a,366,5,4.7
2022-12-14,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543716203;352580290;a,1298,8,13.43
2022-12-15,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543716203;352580290;a,1768,9,15.21
2022-12-16,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543716203;352580290;a,1909,12,16.06
2022-12-17,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543716203;352580290;a,1893,7,15.04
2022-12-18,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543716203;352580290;a,1513,6,11.15
2022-12-19,2.38504E+16,2.38504E+16,2.38515E+16,https://glassrsoom.test/abc/cde/543716203;352580290;a,991,3,8.05
